lb,ub,Qsg,Tout,Tair_true,u_true
22.0,24.0,121.61667,18.0,22.918058,126.48727422655372
22.0,24.0,326.36053,19.0,22.93676,66.9603715625575
22.0,24.0,318.3818,19.8,22.972284,35.57210792817068
22.0,24.0,502.8356,20.7,23.027592,-72.96618696255985
22.0,24.0,527.05194,21.399998,23.01484,-96.55809148792821
22.0,24.0,638.5913,22.199997,23.100214,-244.61866302718818
22.0,24.0,658.91235,22.900002,23.030691,-250.2357913925577
22.0,24.0,697.27246,23.600002,23.135162,-357.39770323037453
22.0,24.0,681.45636,24.099998,23.11002,-359.0718485482857
22.0,24.0,642.4392,24.599998,23.205679,-352.8477542472328
22.0,24.0,637.7337,24.899994,23.31364,-376.7079400295403
22.0,24.0,585.95856,25.300003,23.376095,-361.37474958519664
22.0,24.0,564.1478,25.5,23.47297,-369.7375861048632
22.0,24.0,427.37067,25.700005,23.534458,-360.9203933806343
22.0,24.0,404.5249,25.700005,23.578018,-364.1120142098554
22.0,24.0,253.80815,25.800003,23.603806,-410.2123761205446
22.0,24.0,241.41899,25.599998,23.520634,-402.25035726613487
22.0,24.0,121.59039,25.400002,23.507881,-446.8015060280703
22.0,24.0,111.0298,25.100006,23.391294,-434.683616060198
22.0,24.0,49.500004,24.699997,23.349268,-168.60276192953467
22.0,24.0,84.07869,24.699997,23.489649,-174.37820932090779
22.0,24.0,16.5,22.5,23.469278,-203.91398285699358
22.0,24.0,19.435774,21.399998,23.363897,-188.6192847762789
22.0,24.0,12.69592,20.300003,23.31111,-216.9047338128707
15.0,28.0,0.0,19.899998,23.19364,-224.33476980450757
15.0,28.0,0.0,19.599998,23.09367,-234.59756511881005
15.0,28.0,0.0,19.400002,22.993626,-221.1378970955725
15.0,28.0,0.0,19.3,22.931408,-295.63042258376476
15.0,28.0,0.0,19.099998,22.74518,-319.19320207531115
15.0,28.0,0.0,19.0,22.615896,-561.6683212591458
15.0,28.0,0.0,18.699997,22.160557,-610.9816944512572
15.0,28.0,0.0,18.400002,21.933483,-75.29777298952416
15.0,28.0,0.0,18.2,22.618973,-724.6536764959425
15.0,28.0,0.0,17.900002,21.679775,105.9005177432428
15.0,28.0,0.0,17.7,22.725464,-741.8526816571398
15.0,28.0,0.0,17.5,21.55413,230.71942981045515
15.0,28.0,0.0,17.399998,22.792267,-786.5034030924726
15.0,28.0,0.0,17.3,21.405949,212.7141118981276
15.0,28.0,0.0,17.199997,22.659153,-767.5809077676003
15.0,28.0,0.0,17.099998,21.332678,35.778461641028855
15.0,28.0,0.0,17.099998,22.301434,102.08399353185774
15.0,28.0,0.0,17.199997,22.516104,248.82171453272093
15.0,28.0,1.32,17.900002,22.779755,219.81280224002205
15.0,28.0,35.151554,18.600002,22.80454,240.24581883830308
22.0,24.0,52.1189,19.400002,22.886461,208.48319268310996
22.0,24.0,103.17059,20.2,22.903263,200.38175065109567
22.0,24.0,118.21191,21.300003,22.960045,167.7746416770077
22.0,24.0,215.51186,22.399998,22.986986,35.74335271725465
22.0,24.0,206.54668,24.0,23.082401,-24.18750278437949
22.0,24.0,311.31107,25.599998,23.09306,-99.15954241457575
22.0,24.0,325.63916,26.699997,23.099121,-118.56796486278705
22.0,24.0,435.5291,27.800003,23.178112,-188.14048932132312
22.0,24.0,454.59378,28.400002,23.216782,-201.6184359419875
22.0,24.0,580.42065,29.0,23.321985,-329.62217063086877
22.0,24.0,619.7804,29.400002,23.288382,-369.29326445473913
22.0,24.0,663.726,29.800003,23.353008,-436.56553788383354
22.0,24.0,674.8781,30.0,23.385057,-462.3488546883815
22.0,24.0,671.7087,30.199997,23.461287,-486.6674645331949
22.0,24.0,665.6367,30.199997,23.533499,-504.02935716885236
22.0,24.0,586.19415,30.300003,23.604782,-465.628779044122
22.0,24.0,572.1825,30.300003,23.731384,-481.440686488196
22.0,24.0,454.8861,30.300003,23.784122,-450.6270386450682
22.0,24.0,414.3495,30.199997,23.861876,-458.6966485764559
22.0,24.0,199.23274,30.100006,23.881416,-464.3851098776785
22.0,24.0,261.67007,30.0,23.838043,-459.5734071095401
22.0,24.0,114.34581,29.899994,23.835478,-493.8411126716027
22.0,24.0,115.26994,29.5,23.73361,-480.9267204277269
22.0,24.0,50.473793,29.099998,23.698528,-221.82913175496333
22.0,24.0,9.822621,29.099998,23.831127,-242.36479151990898
22.0,24.0,7.7539005,26.900002,23.767918,-251.81197810677986
22.0,24.0,4.8839803,26.0,23.690987,-243.61880260203316
22.0,24.0,3.3517797,25.199997,23.63095,-254.4474126088071
15.0,28.0,0.0,24.5,23.542566,-244.0728722017726
15.0,28.0,0.0,23.699997,23.47976,-279.106727162282
15.0,28.0,0.0,23.0,23.350994,-264.3300735565671
15.0,28.0,0.0,22.3,23.284966,-292.1303868293131
15.0,28.0,0.0,21.7,23.162624,-292.5455565694725
15.0,28.0,0.0,21.199997,23.07201,-470.7390259620207
15.0,28.0,0.0,20.8,22.715435,-547.00850931893
15.0,28.0,0.0,20.5,22.462349,-1003.6330790784322
15.0,28.0,0.0,20.300003,21.635704,-88.38083941819252
15.0,28.0,0.0,20.100002,22.776167,-1084.8071714187488
15.0,28.0,0.0,20.100002,21.357601,141.66144718181891
15.0,28.0,0.0,20.0,22.906403,-1095.5877251397674
15.0,28.0,0.0,20.2,21.209146,278.9053433904352
15.0,28.0,0.0,20.300003,22.961311,-1068.858943931198
15.0,28.0,0.0,20.400002,21.147926,257.4148349229275
15.0,28.0,0.0,20.5,22.826765,75.35066312823187
15.0,28.0,0.0,20.5,22.783428,77.52133130707676
15.0,28.0,0.0,20.5,22.804337,158.55338942781856
15.0,28.0,3.1318252,20.7,22.950998,128.31990026918595
15.0,28.0,23.19405,20.900002,22.95367,177.4657071140076
22.0,24.0,43.7685,21.300003,23.061924,128.77932614617896
22.0,24.0,67.27593,21.7,23.04436,160.02630116210707
22.0,24.0,90.76151,22.099998,23.133286,117.48889703345208
22.0,24.0,185.45193,22.600002,23.131042,-38.738103852036886
22.0,24.0,209.78865,23.0,23.162556,-64.34011576184605
22.0,24.0,319.87646,23.5,23.194405,-130.80387565329403
22.0,24.0,326.44095,24.299995,23.188557,-142.09942684836273
22.0,24.0,409.7068,25.0,23.2476,-191.31833534373646
22.0,24.0,438.84546,26.099998,23.277552,-203.7400394933211
22.0,24.0,510.84717,27.199997,23.35728,-300.3060016317172
22.0,24.0,569.06573,27.800003,23.33289,-329.99489116459387
22.0,24.0,624.2506,28.400002,23.395462,-394.80917101163396
22.0,24.0,640.6974,28.800003,23.418829,-424.71444665574825
22.0,24.0,640.4121,29.199997,23.4791,-453.88416678695444
22.0,24.0,632.9006,29.599998,23.535488,-468.04281571461365
22.0,24.0,560.5199,30.100006,23.605026,-436.2246557203738
22.0,24.0,504.6112,30.199997,23.722437,-416.0917172511596
22.0,24.0,413.66998,30.300003,23.818426,-439.5430859871185
22.0,24.0,403.9134,30.199997,23.824219,-441.5273596441996
22.0,24.0,259.78317,30.0,23.850311,-460.1802044117002
22.0,24.0,234.29521,29.800003,23.810667,-452.5664839544255
22.0,24.0,81.416016,29.5,23.802725,-494.1298263543721
22.0,24.0,144.21533,29.0,23.682898,-469.81272950128937
22.0,24.0,47.09719,28.599998,23.672733,-217.99475734926227
22.0,24.0,60.120663,28.599998,23.794365,-230.69042722901634
22.0,24.0,21.945,26.799995,23.755283,-247.91286234551728
22.0,24.0,11.55,25.700005,23.671484,-236.98200776955844
22.0,24.0,17.475529,24.599998,23.61613,-250.3225659675013
15.0,28.0,0.0,24.0,23.52645,-242.18105856286581
15.0,28.0,0.0,23.3,23.457047,-276.5099529963612
15.0,28.0,0.0,22.900002,23.327145,-261.5985397238357
15.0,28.0,0.0,22.399998,23.261726,-291.8881374542898
15.0,28.0,0.0,22.099998,23.137981,-293.80860545330324
15.0,28.0,0.0,21.8,23.048817,-477.6228564010719
15.0,28.0,0.0,21.599998,22.68908,-553.6187040624407
15.0,28.0,0.0,21.300003,22.441723,-996.4602082233922
15.0,28.0,0.0,21.199997,21.642487,-87.59215228451501
15.0,28.0,0.0,21.0,22.784061,-1082.1817554745724
15.0,28.0,0.0,20.900002,21.375092,124.11356095559415
15.0,28.0,0.0,20.8,22.900215,-1089.3306790674956
15.0,28.0,0.0,20.7,21.239141,264.39231011833493
15.0,28.0,0.0,20.599998,22.967722,-1067.9712380820881
15.0,28.0,0.0,20.599998,21.174341,251.1604090400565
15.0,28.0,0.0,20.599998,22.844782,69.82545932954685
15.0,28.0,0.0,20.599998,22.800154,72.3621675707223
15.0,28.0,0.0,20.5,22.819942,150.47745383791874
15.0,28.0,1.98,20.8,22.960138,125.41779284790096
15.0,28.0,41.216663,21.100002,22.967754,153.14804034502401
22.0,24.0,43.756905,21.7,23.048742,124.6292741770502
22.0,24.0,130.06229,22.3,23.055527,81.65491548026483
22.0,24.0,70.81116,23.3,23.05384,138.2134768699375
22.0,24.0,184.1294,24.400002,23.177507,-62.35078354475314
22.0,24.0,157.38727,25.300003,23.169903,-68.75278628524404
22.0,24.0,325.1266,26.199997,23.223112,-151.48169799374443
22.0,24.0,288.21817,26.699997,23.216602,-154.74258218743807
22.0,24.0,261.69366,27.099998,23.289673,-190.3473990131087
22.0,24.0,342.9761,27.399994,23.314863,-202.41556998748086
22.0,24.0,310.21054,27.600006,23.38763,-231.2714377003963
22.0,24.0,144.66454,27.800003,23.420113,-226.65770313331427
22.0,24.0,129.22302,27.900002,23.448557,-274.7451906867294
22.0,24.0,386.3549,27.900002,23.403034,-281.3491678156522
22.0,24.0,570.9316,27.900002,23.47644,-369.7676685220363
22.0,24.0,434.9553,27.800003,23.466206,-318.9528352943544
22.0,24.0,417.59116,27.699997,23.589113,-349.78393599756225
22.0,24.0,321.19467,27.399994,23.609158,-341.96798901045133
22.0,24.0,328.2988,27.099998,23.641655,-376.99778035318
22.0,24.0,401.41953,26.799995,23.615881,-376.0385295291246
22.0,24.0,201.4675,26.5,23.649487,-423.1598163417525
22.0,24.0,225.41612,26.199997,23.552172,-408.64689470406415
22.0,24.0,85.962944,26.0,23.546757,-455.8569556816984
22.0,24.0,132.26398,25.599998,23.418856,-435.8169115747139
22.0,24.0,44.55,25.300003,23.396141,-176.19865874322562
22.0,24.0,47.788033,25.300003,23.527273,-191.2383562895467
22.0,24.0,23.429998,24.199997,23.482761,-206.28451614243363
22.0,24.0,11.054999,23.800003,23.406748,-201.2033961402866
22.0,24.0,17.344275,23.400002,23.35238,-221.74897895898573
