C_env,C_air,R_rc,R_oe,R_er,RMSE
3158184.0827305526,790098.2910307128,0.0010505751776723,0.0045009740931543,0.0026085312652151,0.3376539831206593
3699086.689073968,165455.52745700907,0.0081026582488401,0.0440967331546354,0.0054784105454239,1.0988860944125083
4619174.808346417,346504.04292831256,0.012300714000126,0.024555750420068,0.0021500060383165,0.9255409726107071
3521742.9649000275,418033.34829828376,0.0084707376243695,0.0504288101261789,0.0062770141951128,0.6618265759504529
4063791.99648791,291345.3667577362,0.0034804146037715,0.0291052084710081,0.0023905577858402,0.4592210407883265
2605419.1558279567,398492.2727393725,0.0134447303654017,0.0058355920858011,0.0050677583182881,3.0862762367313166
2820232.027429605,450804.4246195174,0.0020128458488774,0.0422543729203654,0.0016640702494283,0.928875986474474
3969937.617235599,662207.8075030403,0.0089260560967577,0.0155511226652415,0.0058997345088042,1.0579030241366107
2087439.665235032,594494.6631565809,0.0002321279504538,0.0191683520029139,0.0069063627067556,1.4780669400051822
1389599.915333619,578652.8937326743,0.008271349503386,0.0139232191283023,0.0024874445305789,1.458877322959694
3801138.880637831,481845.56844039366,0.0029817984348843,0.0494704554666501,0.0031852838810035,0.8318361000389685
1780949.190505013,373762.56483124086,0.0036570746699004,0.0106055754052387,0.0026135617580754,0.8468775022654694
5705606.82983524,588526.9695225663,0.0071584617050056,0.0321706918604419,0.0086188305151638,0.4859854901754025
6587408.770739758,489718.3074805867,0.0041916318071202,0.0474172693219426,0.0049840707983273,0.7302271296342447
3271249.904347559,341143.63211551047,0.0024068236792599,0.0240104102112351,0.0061490306553909,0.6955590538156481
4636242.018588241,730931.6207227516,0.0008013952147979,0.0178557965653391,0.0053684727326143,1.114152622983373
2496545.869243076,330358.73724474333,0.0051445961065171,0.0301604239207417,0.0027751654622934,0.34913252683586915
7476442.696396787,551766.7192423991,0.0057927979537985,0.0259798165880921,0.0002232045363772,0.4435646915236644
1031757.9237530776,472360.15176043427,0.0116672057013195,0.0531504317056965,0.0042396867408005,0.48716734253228217
3514263.4682097635,167442.805460228,0.0077948686150116,0.0563245660067615,0.0004667857345705,0.3459140589931454
3763240.779391647,381917.7729683206,0.0125157275204806,0.0367630225386417,0.0021578503048003,0.45608314467937244
3653200.789329018,281762.7623434223,0.0043107269996185,0.0028782235491868,0.0011827230289188,4.188615026187566
1502023.8046295608,479759.4237004901,0.0056404705843115,0.0409513014758574,0.0075892253333038,0.5806409221084686
6886892.80825999,319990.66085848765,0.0067960406117914,0.0199947554271781,0.0034053657919322,0.7079845009174259
7034750.636448031,603144.3037310322,0.0088017283579315,0.0072583716891921,0.0018878154358828,2.972815184768856
653151.8862421042,619356.6903028211,0.0026729590828959,0.0124927803807792,0.0051135398587421,0.22484576470999967
550582.0274111298,423976.8145067557,0.0096958793736787,0.0213988762080642,0.0028405825369088,0.9388360124509392
6126896.2125420105,365274.3557440071,0.0067317785505388,0.0597293000118288,0.0038208586892537,0.7129894943518028
2291750.143141769,501676.9392614137,0.0062317473313052,0.029517074304893,0.0053959024634372,0.40342937957244474
4756114.906222545,310994.72942858835,0.0136658890426189,0.0325696499397239,0.003731925098427,0.7480409779819354
