lb,ub,Qsg,Tout,Tair_true,sat_true,zat_true
22.0,24.0,119.0684,17.0,22.20055,15.499520301818848,20.186965942382812
22.0,24.0,118.36056,18.400002,21.558071,15.499914169311523,24.78032112121582
22.0,24.0,165.05334,19.8,22.898151,15.49999713897705,20.88801383972168
22.0,24.0,209.381,21.0,22.063658,15.499999046325684,23.41016960144043
22.0,24.0,297.12015,22.200005,22.884779,15.499995231628418,21.54931640625
22.0,24.0,323.3945,23.2,22.480246,15.49999713897705,24.23697280883789
22.0,24.0,393.49542,24.099998,23.309093,15.499995231628418,18.53763198852539
22.0,24.0,418.10742,25.0,22.20671,15.5,22.781780242919922
22.0,24.0,496.90625,25.900002,23.271324,15.499999046325684,18.83612060546875
22.0,24.0,508.5705,26.599998,22.474224,15.499999046325684,22.72964096069336
22.0,24.0,585.9484,27.300003,23.496109,15.499942779541016,21.28727912902832
22.0,24.0,626.01184,27.799995,23.034775,15.499994277954102,19.086952209472656
22.0,24.0,624.2818,28.300003,22.89042,15.499998092651367,18.206356048583984
22.0,24.0,616.1062,28.5,22.956738,15.499993324279785,18.206134796142578
22.0,24.0,571.00525,28.699997,23.02723,15.49998664855957,20.596506118774414
22.0,24.0,591.82025,28.699997,23.207592,15.499985694885254,22.425830841064453
22.0,24.0,478.3472,28.800003,23.801258,15.499987602233887,18.549104690551758
22.0,24.0,423.60562,28.900002,23.251324,15.499998092651367,18.943613052368164
22.0,24.0,216.36865,28.900002,23.174557,15.49998664855957,22.064783096313477
22.0,24.0,227.3333,28.800003,23.638641,15.5,19.032358169555664
22.0,24.0,122.877495,28.599998,23.135849,15.499998092651367,19.987337112426758
22.0,24.0,129.81949,28.300003,23.095291,15.499998092651367,18.659122467041016
22.0,24.0,44.385,28.0,22.732082,15.499963760375977,19.998817443847656
22.0,24.0,52.59964,28.0,22.693039,15.499980926513672,19.358116149902344
22.0,24.0,21.12,26.900002,22.568308,15.499977111816406,19.77180290222168
22.0,24.0,10.065,25.900002,22.49584,15.499836921691895,22.755428314208984
22.0,24.0,11.966495,24.899994,23.322786,15.499807357788086,18.969457626342773
22.0,24.0,0.0,24.0,22.356083,15.49998664855957,19.996057510375977
22.0,24.0,0.0,23.2,22.29394,15.499947547912598,22.358688354492188
22.0,24.0,0.0,22.799995,22.998558,15.499944686889648,21.29501724243164
22.0,24.0,0.0,22.399998,22.536388,15.499907493591309,19.10237693786621
22.0,24.0,0.0,22.099998,22.035992,15.49988842010498,23.182083129882812
22.0,24.0,0.0,21.8,23.014574,15.499431610107422,18.2357234954834
22.0,24.0,0.0,21.599998,21.92085,15.499993324279785,22.072586059570312
22.0,24.0,0.0,21.399998,22.655315,15.485062599182129,24.177303314208984
22.0,24.0,0.0,21.300003,23.094814,15.497570991516113,25.688013076782227
22.0,24.0,0.0,21.199997,23.39392,15.49304485321045,21.531356811523438
22.0,24.0,0.0,21.300003,22.373348,15.499983787536621,21.91606903076172
22.0,24.0,0.0,21.300003,22.539398,15.49955940246582,24.228666305541992
22.0,24.0,0.0,21.100002,23.053112,15.49778938293457,23.958890914916992
22.0,24.0,0.0,20.900002,23.035065,15.498620986938477,21.170562744140625
22.0,24.0,0.0,20.400002,22.21751,15.491798400878906,25.508193969726562
22.0,24.0,0.0,19.899998,23.216599,15.489715576171875,21.900897979736328
22.0,24.0,0.0,19.3,22.417679,15.497430801391602,23.34048080444336
22.0,24.0,0.0,18.600002,22.799438,15.49975872039795,25.769142150878906
22.0,24.0,2.145,18.5,23.239109,15.499547958374023,19.034748077392578
22.0,24.0,59.837944,18.3,21.708405,15.497499465942383,21.966976165771484
22.0,24.0,24.255,18.899998,22.415836,15.496650695800781,21.827943801879883
22.0,24.0,115.40873,19.400002,22.350716,15.49996566772461,19.52906036376953
22.0,24.0,60.472984,20.299995,21.64088,15.499878883361816,22.63562774658203
22.0,24.0,172.31528,21.100002,22.79485,15.499999046325684,22.378183364868164
22.0,24.0,122.26685,21.7,22.76418,15.499992370605469,20.218711853027344
22.0,24.0,330.8368,22.399998,22.133476,15.499999046325684,19.346614837646484
22.0,24.0,326.00232,22.900002,22.070112,15.499999046325684,22.8338680267334
22.0,24.0,509.5403,23.3,23.170105,15.499980926513672,20.65167236328125
22.0,24.0,540.7645,23.699997,22.502155,15.499996185302734,20.88519859313965
22.0,24.0,650.15936,24.099998,22.739323,15.499980926513672,18.914491653442383
22.0,24.0,679.3646,24.400002,22.593699,15.49999713897705,20.4034423828125
22.0,24.0,729.5835,24.800003,22.811062,15.499994277954102,18.720537185668945
22.0,24.0,739.38666,25.0,22.828018,15.499998092651367,18.060375213623047
22.0,24.0,730.3186,25.299995,22.90897,15.499969482421875,18.360271453857422
22.0,24.0,718.638,25.5,22.999163,15.499993324279785,20.259702682495117
