tstep,reward,done,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,action_0,action_1,Mode,SAT_sp,ZAT_sp_used,m_fan,DamperSignal,ReheatSignal,ReheatPct,Q_reheat_W,TotalEnergy_kWh,CoolingEnergy_kWh,HeatingEnergy_kWh,ReheatEnergy_kWh,FanEnergy_kWh,Hour,TempExceed_degC,Reward
1295,-0.042716545180073576,0,3.7470650672912598,0.594415009021759,0.5,0.800000011920929,0.0,0.0,1.0,15.495644569396973,23.40019416809082,heating,15.495644569396973,23.40019416809082,0.080939,0.0,0.13228688051198625,13.228688051198626,39.68606415359588,0.042716545180073576,0.0070142918794002095,0.0,0.027402318243142036,0.008299935057531328,0.0,0.0,-0.042716545180073576
1296,-0.02055128273171788,0,3.735910654067993,0.6163749098777771,0.5,0.800000011920929,0.0,0.0,0.0,15.43239688873291,21.933504104614258,cooling,15.43239688873291,21.933504104614258,0.09589385976850227,6.309118573157079,0.0,0.0,0.0,0.02055128273171788,0.009720725606996857,0.0,0.0,0.010830557124721023,0.0,0.0,-0.02055128273171788
1297,-0.05842556067311013,0,3.7247064113616943,0.5013003945350647,0.5,0.800000011920929,0.0,0.0,0.0,15.487571716308594,23.02971076965332,heating,15.487571716308594,23.02971076965332,0.080939,0.0,0.13197567655117837,13.197567655117837,39.59270296535351,0.05842556067311013,0.0063926396974823135,0.0,0.04373298591809649,0.008299935057531328,1.0,0.0,-0.05842556067311013
1298,-0.027503709113287263,0,3.713568925857544,0.5902822613716125,0.5,0.800000011920929,0.0,0.0,0.043478261679410934,15.395299911499023,22.81352424621582,heating,15.395299911499023,22.81352424621582,0.080939,0.0,0.0845265110173538,8.45265110173538,25.357953305206138,0.027503709113287263,0.007352530612143552,0.0,0.011851243443612386,0.008299935057531328,1.0,0.0,-0.027503709113287263
1299,-0.02089984534929243,0,3.7024598121643066,0.5811865925788879,0.5,0.7875000238418579,0.0,0.0,0.043478261679410934,15.4712553024292,21.581918716430664,cooling,15.4712553024292,21.581918716430664,0.10149047780319605,8.670205693741199,0.0,0.0,0.0,0.02089984534929243,0.010009949051336639,0.0,0.0,0.01088989629795579,2.0,0.0,-0.02089984534929243
1300,-0.03966225669710726,0,3.691305160522461,0.48230254650115967,0.5,0.7875000238418579,0.0,0.0,0.08695652335882187,15.476634979248047,22.21229362487793,heating,15.476634979248047,22.21229362487793,0.080939,0.0,0.061028434524073326,6.102843452407333,18.308530357221997,0.03966225669710726,0.006420361375684719,0.0,0.024941960263891217,0.008299935057531328,2.0,0.0,-0.03966225669710726
1301,-0.016498116495106088,0,3.6801950931549072,0.5427839159965515,0.5,0.7875000238418579,0.0,0.0,0.08695652335882187,15.467575073242188,21.96392059326172,cooling,15.467575073242188,21.96392059326172,0.080939,0.0,0.01777966531950644,1.777966531950644,5.333899595851932,0.016498116495106088,0.006775962820618544,0.0,0.001332051951232184,0.00839010172325536,3.0,0.0,-0.016498116495106088
1302,-0.02891176140993949,0,3.669135808944702,0.5313640832901001,0.5,0.7875000238418579,0.0,0.0,0.1304347813129425,15.425607681274414,22.302534103393555,heating,15.425607681274414,22.302534103393555,0.080939,0.0,0.057068046207807775,5.706804620780778,17.120413862342332,0.02891176140993949,0.0067653786576999,0.0,0.013846447694708258,0.008299935057531328,3.0,0.0,-0.02891176140993949
1303,-0.030079516532616292,0,3.658127546310425,0.5491528511047363,0.5,0.7875000238418579,0.0,0.0,0.1304347813129425,15.489760398864746,22.519947052001953,heating,15.489760398864746,22.519947052001953,0.080939,0.0,0.0690392405482072,6.90392405482072,20.71177216446216,0.030079516532616292,0.006907109180293591,0.0,0.014872472294791371,0.008299935057531328,4.0,0.0,-0.030079516532616292
1304,-0.019872418397272152,0,3.6471774578094482,0.5629764199256897,0.5,0.7875000238418579,0.0,0.0,0.17391304671764374,15.461862564086914,22.302072525024414,cooling,15.461862564086914,22.302072525024414,0.080939,0.0,0.04489946701503674,4.4899467015036745,13.469840104511022,0.019872418397272152,0.006912782282105353,0.0,0.004653312545092762,0.008306323570074036,4.0,0.0,-0.019872418397272152
1305,-0.03709326933909109,0,3.6362593173980713,0.5508809089660645,0.5,0.7875000238418579,0.0,0.0,0.17391304671764374,15.496700286865234,22.759838104248047,heating,15.496700286865234,22.759838104248047,0.080939,0.0,0.09367697146760771,9.367697146760772,28.103091440282313,0.03709326933909109,0.007018604826085497,0.0,0.021774729455474266,0.008299935057531328,5.0,0.0,-0.03709326933909109
1306,-0.019613609053711845,0,3.6253981590270996,0.5761425495147705,0.5,0.7875000238418579,0.0,0.0,0.21739129722118378,15.491310119628906,21.672260284423828,cooling,15.491310119628906,21.672260284423828,0.09608659902865926,6.390430926790387,0.0,0.0,0.0,0.019613609053711845,0.009317591919209462,0.0,0.0,0.010296017134502383,5.0,0.0,-0.019613609053711845
1307,-0.045980648625997766,0,3.6145145893096924,0.4910256862640381,0.5,0.7875000238418579,0.0,0.0,0.21739129722118378,15.472640037536621,22.497657775878906,heating,15.472640037536621,22.497657775878906,0.080939,0.0,0.08673496853571076,8.673496853571077,26.020490560713228,0.045980648625997766,0.006602829842635498,0.0,0.031077883725830945,0.008299935057531328,6.0,0.0,-0.045980648625997766
1308,-0.04965939964011402,0,3.605429172515869,0.5590718388557434,0.5,0.7875000238418579,0.024368464946746826,0.0,0.260869562625885,15.467062950134277,23.258764266967773,heating,15.467062950134277,23.258764266967773,0.080939,0.0,0.13621346728590922,13.621346728590922,40.864040185772765,0.04965939964011402,0.007331166086947333,0.0,0.03402829849563536,0.008299935057531328,6.0,0.0,-0.04965939964011402
1309,-0.06307267418277424,0,3.5971314907073975,0.6054478287696838,0.5,0.7875000238418579,0.03397580608725548,0.0,0.260869562625885,15.492868423461914,22.143590927124023,cooling,15.492868423461914,22.143590927124023,0.09074714097185638,4.137833809984252,0.0,0.0,0.0,0.01921405986940944,0.009345802857195249,0.0,0.0,0.00986825701221419,7.0,0.14619538104454932,-0.06307267418277424
